date,text,username,tweet_clean,tweet_sentiment
2014-12-20 13:17:55,My cheeks are burning! They're SUPER red and it feels REALLY warm. What's happening. I'm so clueless.,JoyceeeAG,My cheeks are burning They're SUPER red and it feels REALLY warm What's happening I'm so clueless.,positive
2014-12-16 14:37:09,"Heart wrenching testimony from kids who were in the middle of a math test when ""suddenly firing started so my thigh was burning like metal.""",anjalitsui,"Heart wrenching testimony from kids who were in the middle of a math test when ""suddenly firing started so my thigh was burning like metal.""",neutral
2014-12-11 16:06:53,The castle is burning out @Disneyland Hongkong http://instagram.com/p/wePiFlJF8T/,jojo_harijanto,The castle is burning out Hongkong http://instagram.com/p/wePiFlJF8T/,neutral
2014-12-02 10:39:35,Burning up hay. home finally. Planning to stay inside my blanket for as long as i can haha. pic.twitter.com/c543RpS5jV,seffmusa,Burning up hay home finally Planning to stay inside my blanket for as long as i can haha pic.twitter.com/c543RpS5jV,positive
2014-12-01 06:37:02,Looks like #hongkong got a bit sick of #JackBlack dissing its' burning summery December weather.… http://instagram.com/p/wDeXj5y06k/,Rohitafajita,Looks like #hongkong got a bit sick of #JackBlack dissing its burning summery December weather. http://instagram.com/p/wDeXj5y06k/,negative
2014-12-01 03:04:42,Whatever was burning at PLA barracks isn't burning anymore... pic.twitter.com/R62GW7wZyM,cedricsam,Whatever was burning at PLA barracks isn't burning anymore.. pic.twitter.com/R62GW7wZyM,neutral
2014-11-25 15:05:48,"Owner says not afraid, the students aren't burning or stealing anything. It's just peaceful protests. #OccupyHKpic.twitter.com/q2bE9kZyBp",MikeGJW,Owner says not afraid the students aren't burning or stealing anything It's just peaceful protests #OccupyHKpic.twitter.com/q2bE9kZyBp,positive
2014-11-25 11:36:43,"Team ABS burning the late night oil. Four seasons tomorrow, USA in a few days, ExpoWest in March. Yup,… http://instagram.com/p/v0j4SlkcM-/",ABSalads,"Team ABS burning the late night oil Four seasons tomorrow USA in a few days ExpoWest in March Yup, http://instagram.com/p/v0j4SlkcM-/",negative
2014-11-17 12:06:34,Burning incense @Man Mo Temple http://instagram.com/p/vgA84kgl4C/,Regis_Onassis,Burning incense Mo Temple http://instagram.com/p/vgA84kgl4C/,neutral
2014-11-07 11:21:22,Incense burning #wowmacau #ttot #macau @A-Ma Temple http://instagram.com/p/vGL1GRJrYf/,caitlinlmartin,Incense burning #wowmacau #ttot #macau -Ma Temple http://instagram.com/p/vGL1GRJrYf/,neutral
2014-11-01 05:23:33,TRX certified!! Burning workouts are coming soon @Go Girlzz gym http://instagram.com/p/u2GHK6zGzw/,LudyGoGirlzz,TRX certified! Burning workouts are coming soon Girlzz gym http://instagram.com/p/u2GHK6zGzw/,neutral
2014-10-27 08:40:07,Incense burning #tinhau #temple #hongkong #discoverhongkong #yaumatei @Tin Hau Temple http://instagram.com/p/upkoctRBsB/,tourleaderluke,Incense burning #tinhau #temple #hongkong #discoverhongkong #yaumatei Hau Temple http://instagram.com/p/upkoctRBsB/,neutral
2014-10-26 14:37:03,Crashing and burning,Jenrie_,Crashing and burning,neutral
2014-10-25 19:46:05,"Tyger tyger burning bright, In the forest of the night #DoctorWho",Sometimes_Wong,Tyger tyger burning bright In the forest of the night #DoctorWho,positive
2014-10-19 15:23:13,Got 50 bucks burning a hole in your pocket? Here’s the best tech to spend it on http://zite.to/1poZOVu,Leggotunglei,Got 50 bucks burning a hole in your pocket Here’s the best tech to spend it on http://zite.to/1poZOVu,positive
2014-10-16 08:28:44,#酒紅色 的 #蠟 像 #血 一般 #燃燒著 #Candle #wax burning like #redwine so #bloody @Autumn Moon Divination Shop http://instagram.com/p/uNOlfAq5Yg/,amtarots,#酒紅 # # 一 #燃燒 #Candle #wax burning like #redwine so #bloody Moon Divination Shop http://instagram.com/p/uNOlfAq5Yg/,negative
2014-10-15 17:58:28,Got hit by pepper spray. Luckily not in eyes or mouth but scalp burning #OccupyCentral #UmbrellaRevolutionpic.twitter.com/7J7OxGv6EB,ypleonl,Got hit by pepper spray Luckily not in eyes or mouth but scalp burning #OccupyCentral #UmbrellaRevolutionpic.twitter.com/7J7OxGv6EB,negative
2014-10-09 14:35:09,Burning midnight oil,SaibalGhosh,Burning midnight oil,neutral
2014-10-06 12:03:51,"""Don't be ridiculous"" Natalia Hidalgo's angels eyes is burning with fire #ILForce",marisol_collado,"""Don't be ridiculous Natalia Hidalgo's angels eyes is burning with fire #ILForce",negative
2014-09-29 03:43:20,#HK protestors aren't trashing shops or burning cars. They had all the anger last night but looks like org has control #OccupyCentral,jebbery,#HK protestors aren't trashing shops or burning cars They had all the anger last night but looks like org has control #OccupyCentral,negative
2014-09-26 12:26:00,"Wow that looks, burning with hatred #NataliaWelcomeBack @kc_concepcion",marisol_collado,Wow that looks burning with hatred #NataliaWelcomeBack _concepcion,positive
2014-09-22 17:31:16,I wonder how my house burning down has affected me. I'm still averagely materialistic.,HotSadGirlsInc,I wonder how my house burning down has affected me I'm still averagely materialistic.,negative
2014-09-20 15:06:52,@DarrenaticsHK Sap-10**// Keep the Fire Burning Darren pic.twitter.com/RxqxwBs0vD,c0c5fdfb72d54bc,Sap-10**/ Keep the Fire Burning Darren pic.twitter.com/RxqxwBs0vD,neutral
2014-09-20 13:49:31,@ianLK1 @kuabuboy Keep The Fire Burning Darren,LastraVinky,Keep The Fire Burning Darren,neutral
2014-09-20 13:48:22,Keep The Fire Burning Darren,LastraVinky,Keep The Fire Burning Darren,neutral
2014-09-20 11:57:19,Keep The Fire Burning Darren.,Mayconcepcion02,Keep The Fire Burning Darren.,neutral
2014-09-18 13:15:49,#ท็อปไฟว์เพลงชายนี่สุดโปรด 1. To Your Heart 2. Evil 3. Kiss Kiss Kiss 4. Burning Up 5. The Reason อีกสักท็อปสิ ^ ^,KingACE2Taem,#ท็อปไฟว์เพลงชายนี่สุดโปร 1 To Your Heart 2 Evil 3 Kiss Kiss Kiss 4 Burning Up 5 The Reason อีกสักท็อปส ^,negative
2014-09-17 11:57:38,"Ayiiiiieeeee.... back view, side view, hair lng pinakita,how about the whole picture of you mr burning man...:-P",CorpuzMhine,"Ayiiiiieeeee... back view side view hair lng pinakita,how about the whole picture of you mr burning man...:-P",positive
2014-09-04 03:38:57,"New diet to prepare for Ironman. High fat, low carb. Efficient fuel burning and I have a lot of it! #training #Ironman",james_shum,New diet to prepare for Ironman High fat low carb Efficient fuel burning and I have a lot of it #training #Ironman,positive
2014-09-02 04:02:48,@BlacknBlueBong ....amounts. It's burning a hole in the pockets of the Glazers and I'm happy at that.,AbhirupMaitra,....amounts It's burning a hole in the pockets of the Glazers and I'm happy at that.,positive
2014-09-01 14:54:55,I've also had too much dairy in last 2 weeks. My skin is like a burning fire! Doesn't help I smashed my head off a table in Saturday,EllaBellaBella,I've also had too much dairy in last 2 weeks My skin is like a burning fire Doesn't help I smashed my head off a table in Saturday,positive
2014-08-26 14:57:28,Still burning yacht on fire @Aberdeen pic.twitter.com/HLflD7yiFI,TulsiMasalaChai,Still burning yacht on fire pic.twitter.com/HLflD7yiFI,neutral
2014-08-26 14:18:27,It's a shame I missed the peak of Burning Man. Looking for BM 2.0 | Burning Man closed due to rain and hail http://cir.ca/s/YxCB,JonLi,It's a shame I missed the peak of Burning Man Looking for BM 2.0 Burning Man closed due to rain and hail http://cir.ca/s/YxCB,negative
2014-08-26 02:39:25,Burning man from above. Amazing. Didn’t know it was so structured. http://www.oaklandmofo.com/images/burning-man-aerial.jpg …,charis,Burning man from above Amazing Didn’t know it was so structured http://www.oaklandmofo.com/images/burning-man-aerial.jpg …,positive
2014-08-25 03:43:18,Burning,Rodman_TK,Burning,neutral
2014-08-20 12:19:02,Wishful Wednesday-that I was having a drink rather than burning the midnight oil at work! But nothing… http://instagram.com/p/r63oXggJYs/,TINATIME_,Wishful Wednesday-that I was having a drink rather than burning the midnight oil at work But nothing http://instagram.com/p/r63oXggJYs/,neutral
2014-08-19 06:23:05,Layers of coiled #incense sticks burning high into the roof of this #stunning #temple smuggled away… http://instagram.com/p/r3qGebBIJP/,laurenjones91,Layers of coiled #incense sticks burning high into the roof of this #stunning #temple smuggled away http://instagram.com/p/r3qGebBIJP/,positive
2014-08-18 16:03:47,Burning spirals of incense at Man Mo temple. @Man Mo Temple http://instagram.com/p/r2HwyKmDNr/,mrsmmakes,Burning spirals of incense at Man Mo temple Mo Temple http://instagram.com/p/r2HwyKmDNr/,neutral
2014-08-18 13:43:18,Running in burning sun. #Hk #hkig #Running #Sunshine #Sunny #hot #training #instalike #like #follow @… http://instagram.com/p/r13r0OS5Td/,netmehelpu,Running in burning sun #Hk #hkig #Running #Sunshine #Sunny #hot #training #instalike #like #follow @ http://instagram.com/p/r13r0OS5Td/,positive
2014-08-18 03:25:50,"My HK lunch, had to eat here due to the 8-hr stopover. My lips are burning. Their chicken and fries… http://instagram.com/p/r0xBTCr0uQ/",Utami2790,My HK lunch had to eat here due to the 8-hr stopover My lips are burning Their chicken and fries http://instagram.com/p/r0xBTCr0uQ/,negative
2014-08-16 16:04:29,We'll be burning up like neon lights #votedemilovato,ChauJack,We'll be burning up like neon lights #votedemilovato,neutral
2014-08-15 07:48:32,"Burning the candle, reaching 10,000 entries at this year US Dance Championships & more are still coming in! #ballroom #dancesport",wayneeng,"Burning the candle reaching 10,000 entries at this year US Dance Championships more are still coming in #ballroom #dancesport",positive
2014-08-07 10:46:45,.... over and over it's burning inside...... Maris Racal Tuloy Ang Laban Team Maris All The Way,MissMaaaars,... over and over it's burning inside..... Maris Racal Tuloy Ang Laban Team Maris All The Way,neutral
2014-08-06 15:08:05,I feel like my eyes are burning,lacmmegan,I feel like my eyes are burning,neutral
2014-08-06 14:44:48,Thighs burning. Chest burning. Arms burning. Back burning. Abs burning. Yup I had a good workout. #workingouttobarflevels,JonSpectacle,Thighs burning Chest burning Arms burning Back burning Abs burning Yup I had a good workout #workingouttobarflevels,positive
2014-08-05 08:32:29,@GreenishTank no clue it stopped somebody must if been burning money for the dead again,_JenniferNguyen,no clue it stopped somebody must if been burning money for the dead again,negative
2014-08-05 06:26:47,Woke up to a really bad burning smell.... I only have underwear on... If there's a fire a lot of pplz are gonna see me naked ....,_JenniferNguyen,Woke up to a really bad burning smell... I only have underwear on.. If there's a fire a lot of pplz are gonna see me naked ....,negative
2014-07-31 05:46:54,Burning my tongue after burning my feet for hours. @La Maison Du Chocolat At Prince's Building http://instagram.com/p/rGq23kBRVI/,Earl___________,Burning my tongue after burning my feet for hours Maison Du Chocolat At Prince's Building http://instagram.com/p/rGq23kBRVI/,neutral
2014-07-30 05:32:51,"Yesterday trip.. went to A-Ma temple.. I felt burning.. so damn hotttt... Walked far and going up,… http://instagram.com/p/rEEdBdzTU5/",selvihere,"Yesterday trip. went to A-Ma temple. I felt burning. so damn hotttt.. Walked far and going up, http://instagram.com/p/rEEdBdzTU5/",positive
2014-07-27 00:31:51,"Explorer descended into Turkmenistan's ""door to hell"", a burning borehole. MT @guardianworld http://www.theguardian.com/world/2014/jul/18/-sp-door-to-hell-turkmenistan-in-pictures …pic.twitter.com/37BCX4pWjU",deryckchan,"Explorer descended into Turkmenistan's ""door to hell"" a burning borehole MT http://www.theguardian.com/world/2014/jul/18/-sp-door-to-hell-turkmenistan-in-pictures …pic.twitter.com/37BCX4pWjU",neutral
2014-07-23 04:18:07,So freaking hot.... Burning like crazy...,jo_jay1015,So freaking hot... Burning like crazy...,negative
2014-07-21 19:43:59,Fire shots for the boys #Burning pic.twitter.com/Ok3HTM8kWz,Tcondon92,Fire shots for the boys #Burning pic.twitter.com/Ok3HTM8kWz,neutral
2014-07-19 06:03:34,Throat is still burning from those grenades,aidanliu92,Throat is still burning from those grenades,neutral
