date,text,username,tweet_clean,tweet_sentiment
2014-12-28 01:36:11,Quite old Public Housing in Nam Cheong @Nam Cheong Station http://instagram.com/p/xIdZu1v4AI/,j3tourshongkong,Quite old Public Housing in Nam Cheong Cheong Station http://instagram.com/p/xIdZu1v4AI/,positive
2014-12-17 05:12:46,Confused about the new government housing target being presented/spun as an 'increase' http://m.scmp.com/news/hong-kong/article/1663211/hong-kongs-housing-target-raised-480000 … ...,Steve_Dunthorne,Confused about the new government housing target being presented/spun as an 'increase http://m.scmp.com/news/hong-kong/article/1663211/hong-kongs-housing-target-raised-480000 ...,negative
2014-12-16 06:00:51,@krislc I'm still surprised CY didn't add the protest sites to the new housing totals for the year,Steve_Dunthorne,I'm still surprised CY didn't add the protest sites to the new housing totals for the year,positive
2014-12-12 01:25:58,"Color and geometry in #HongKong public housing @Choi Hung, Hong Kong http://instagram.com/p/wfPWTlB6w3/",Reciprocity_,Color and geometry in #HongKong public housing Hung Hong Kong http://instagram.com/p/wfPWTlB6w3/,neutral
2014-11-26 14:07:32,Why do tomorrow what i can do today? #paramourhk #archi #housing #symmetry #photo #lokfu #allabouthk… http://instagram.com/p/v3Z80YN8MI/,par_amour,Why do tomorrow what i can do today #paramourhk #archi #housing #symmetry #photo #lokfu #allabouthk http://instagram.com/p/v3Z80YN8MI/,neutral
2014-11-24 05:22:53,Housing and land issues #occupycentral #hongkong #legco #universalsuffrage #democracy #china… http://instagram.com/p/vxUUWkqXLO/,Studio_Leung,Housing and land issues #occupycentral #hongkong #legco #universalsuffrage #democracy #china http://instagram.com/p/vxUUWkqXLO/,neutral
2014-11-20 23:42:06,The totally weird concrete cruise ship in the middle of a housing estate @Whampoa Garden 黃埔花園 http://instagram.com/p/vo-7vsP4N5/,j3tourshongkong,The totally weird concrete cruise ship in the middle of a housing estate Garden 黃埔花 http://instagram.com/p/vo-7vsP4N5/,negative
2014-11-19 23:18:13,At HK Club for meeting with Secretary for Transport & Housing!,cjahbritchamcom,At HK Club for meeting with Secretary for Transport Housing!,neutral
2014-11-15 08:48:37,Super walls of #condos. #Mongkok #Kowloon #HongKong #housing #architecture #density #city #livingpic.twitter.com/xLMub7Ai69,VivienneGan,Super walls of #condos #Mongkok #Kowloon #HongKong #housing #architecture #density #city #livingpic.twitter.com/xLMub7Ai69,positive
2014-11-07 07:19:53,@TanyaReneeRuby what does the money get you? housing deposit? if you want to teach in Hong Kong I can get you a job,alyybongo,what does the money get you housing deposit if you want to teach in Hong Kong I can get you a job,neutral
2014-10-31 10:57:14,Mr. Chan cleans bathrooms for a living. He wants to apply for public housing but says the 3 year wait is too long. pic.twitter.com/xfakgdpxUK,anjalitsui,Mr Chan cleans bathrooms for a living He wants to apply for public housing but says the 3 year wait is too long pic.twitter.com/xfakgdpxUK,positive
2014-10-30 06:13:21,A quick look at the Michelin stars suggests City Garden in North Point may be one of the few housing estates in the world with two 1* joints,Steve_Dunthorne,A quick look at the Michelin stars suggests City Garden in North Point may be one of the few housing estates in the world with two 1 joints,positive
2014-10-24 04:01:36,"Public housing owners to not pay rent in defiance of #CYLEUNG ""poor can't vote"" comment "" @rthk_news: Fri, 24 (cont) http://tl.gd/n_1sddiss",holdincourt,"Public housing owners to not pay rent in defiance of #CYLEUNG ""poor can't vote comment _news Fri 24 (cont http://tl.gd/n_1sddiss",negative
2014-10-21 12:40:23,"Was this voice heard in the debate? In Mong Kok, a passionate lament about unaffordable housing. pic.twitter.com/YbnmFkp1hb",ChuBailiang,Was this voice heard in the debate In Mong Kok a passionate lament about unaffordable housing pic.twitter.com/YbnmFkp1hb,negative
2014-10-18 15:00:10,This time round my HKG trip was pretty much focused on exploring the city's housing so here's The Blue… http://instagram.com/p/uTE-KBN5To/,madeofballoons,This time round my HKG trip was pretty much focused on exploring the city's housing so here's The Blue http://instagram.com/p/uTE-KBN5To/,positive
2014-10-11 08:47:38,"Mong Kok occupy posters complain about the high price of housing, lagging wages. pic.twitter.com/5OA7e4Y2h7",ChuBailiang,Mong Kok occupy posters complain about the high price of housing lagging wages pic.twitter.com/5OA7e4Y2h7,positive
2014-10-01 11:05:05,流動民主教室 Mobile Democracy Class Room - Lecture of housing and democracy by Mr Lai Kin-Kwok @Yee Wo… http://instagram.com/p/tm4jcZGJUn/,cgartweet,流動民主教 Mobile Democracy Class Room Lecture of housing and democracy by Mr Lai Kin-Kwok Wo http://instagram.com/p/tm4jcZGJUn/,neutral
2014-08-29 07:48:41,"@trey_menefee At least the PAP provided good housing, education, health & infrastructure, never mind MPF and a chance to get on in life.",mumphLT,_menefee At least the PAP provided good housing education health infrastructure never mind MPF and a chance to get on in life.,positive
