date,text,username,tweet_clean,tweet_sentiment
2014-12-13 23:23:00,"Reached Alarming proportion.! RT "" @BDUTT: Wonder why air pollution not a bigger story? Or do we have a collective death wish?""",ptiwari007,"Reached Alarming proportion. RT Wonder why air pollution not a bigger story Or do we have a collective death wish?""",negative
2014-11-05 13:32:01,@niubi @PaulCarsten Ever heard this？ How Beijingers interpret #APEC = Air Pollution Eventually Controlled... #Epic,SummerKar,Ever heard this How Beijingers interpret #APEC Air Pollution Eventually Controlled.. #Epic,positive
2014-10-15 10:46:31,#what #the #weather #fogy #day #why #all #air #pollution #chesad @somewhere http://instagram.com/p/uK5jtsQvr7/,Leggotunglei,#what #the #weather #fogy #day #why #all #air #pollution #chesad http://instagram.com/p/uK5jtsQvr7/,neutral
2014-09-30 05:58:12,Hong Kong qu nar? Sweet Jesus!!! Air pollution getting worst...we need some rain over here... @Kkmall… http://instagram.com/p/tjwo_JIqF7/,Angiesamai,Hong Kong qu nar Sweet Jesus!! Air pollution getting worst...we need some rain over here.. http://instagram.com/p/tjwo_JIqF7/,positive
2014-09-30 04:28:54,"I wonder if the roadside air pollution around Admiralty got measurably better, now that there's no traffic.",smartjolin,I wonder if the roadside air pollution around Admiralty got measurably better now that there's no traffic.,positive
2014-09-25 10:25:00,The air pollution in tung chung was bad today pic.twitter.com/I7X0QqdZjt,DzinaHK,The air pollution in tung chung was bad today pic.twitter.com/I7X0QqdZjt,negative
2014-09-20 09:22:36,"Well hello #HK! @#The#Peak with parents. #nofilter #HKair #airpollution @The Sky Terrace, The Peak,… http://instagram.com/p/tKYFPQJvqV/",winnieyeunghk,"Well hello #HK @#The#Peak with parents #nofilter #HKair #airpollution Sky Terrace The Peak, http://instagram.com/p/tKYFPQJvqV/",neutral
2014-07-12 06:28:16,If the #hongkong government cared about air pollution days like today would be the norm not the… http://instagram.com/p/qV0fJuByKd/,PenguinSix,If the #hongkong government cared about air pollution days like today would be the norm not the http://instagram.com/p/qV0fJuByKd/,neutral
2014-07-11 12:55:28,Shout out to Hong Kong air pollution for being way worse on interior streets at night. Elite level irritated eyes and lungs.,caseyayers,Shout out to Hong Kong air pollution for being way worse on interior streets at night Elite level irritated eyes and lungs.,negative
2014-05-05 01:49:20,Worth repeating: Hong Kong attempts to address indoor air pollution. pic.twitter.com/AdoljUcfEC,TroyWSJ,Worth repeating Hong Kong attempts to address indoor air pollution pic.twitter.com/AdoljUcfEC,positive
