date,text,username,tweet_clean,tweet_sentiment
2014-12-22 11:37:22,"Don't waste your time on him, if he won't give you any of his. #KayRoItsComplicated More Than Words Day26",villavicenci0j,Don't waste your time on him if he won't give you any of his #KayRoItsComplicated More Than Words Day26,positive
2014-12-21 13:48:01,"“ @tumblrkowts: if you're lucky enough to get a second chance, dont waste it.”",jairaalyssa,if you're lucky enough to get a second chance dont waste it.”,positive
2014-12-21 08:28:06,Coffee ground and juice waste from Mum cafe #springworkshop_hkfarm #wongchukhang #hongkong @Spring… http://instagram.com/p/w3K-jxKXAl/,Studio_Leung,Coffee ground and juice waste from Mum cafe #springworkshop_hkfarm #wongchukhang #hongkong http://instagram.com/p/w3K-jxKXAl/,negative
2014-12-19 08:40:27,@darrenaticsMAC1 @900Madrona don't waste our tweet Pls vote.DarrenTheTotal Performance Concert 2. Year End Artist Darren Espanto,OMerciales,don't waste our tweet Pls vote.DarrenTheTotal Performance Concert 2 Year End Artist Darren Espanto,negative
2014-12-11 04:31:35,@JetstarAirways Waste of Time and Waste of Money #DontFlyJetstar 25 min & 25 min and now its almost 2hrs on this plane with no A/C!,carileee,Waste of Time and Waste of Money #DontFlyJetstar 25 min 25 min and now its almost 2hrs on this plane with no A/C!,negative
2014-12-10 22:25:15,L sleeping on a pillow made at #legco with waste polystyrene packaging #umbrellamovement #hongkong… http://instagram.com/p/wcWCaMKXAw/,Studio_Leung,L sleeping on a pillow made at #legco with waste polystyrene packaging #umbrellamovement #hongkong http://instagram.com/p/wcWCaMKXAw/,negative
2014-12-10 09:24:38,"This bird-singing central plays host to many elderly males who waste the day away as a community,… http://instagram.com/p/wa8s__Npqw/",koolwool,"This bird-singing central plays host to many elderly males who waste the day away as a community, http://instagram.com/p/wa8s__Npqw/",positive
2014-12-09 12:02:56,Don't waste time looking back on memories that hurt you. #HiroTellsTheTruth More Than Words Day17,villavicenci0j,Don't waste time looking back on memories that hurt you #HiroTellsTheTruth More Than Words Day17,positive
2014-12-04 16:35:47,""" @ItsLifeFact: Don't waste your time on people who don't look at you the same way you look at them""",suzy_wills,"Don't waste your time on people who don't look at you the same way you look at them""",negative
2014-12-04 07:51:38,Reduce food waste or feeding ppl who really need it may not need an org but an app to let those who need it. Hmmmm?,maltiq,Reduce food waste or feeding ppl who really need it may not need an org but an app to let those who need it Hmmmm?,neutral
